Stations_ID,latitude,longitude
15000,50.798,6.024
7374,52.0813,6.9409
7367,51.9643,9.8072
164,53.0316,13.9908
183,54.6791,13.4344
198,51.3744,11.292
232,48.4253,10.9417
282,49.8743,10.9206
342,52.317,8.1694
427,52.3807,13.5306
430,52.564,13.309
433,52.4675,13.4021
460,49.2641,6.6868
591,53.3911,10.6878
596,54.0027,11.1908
662,52.2915,10.4464
691,53.045,8.7979
701,53.5332,8.5761
704,53.4451,9.139
853,50.7913,12.872
856,47.8843,12.5404
880,51.776,14.3168
891,53.8713,8.7058
953,49.7619,7.0542
963,52.5881,8.3424
1001,51.6451,13.5747
1048,51.1278,13.7543
6163,54.1654,10.3519
1078,51.296,6.7686
7368,51.0007,10.3621
5839,53.3881,7.2287
1270,50.9829,10.9608
5516,54.5283,11.0606
7351,53.3175,13.4175
1346,47.8749,8.1938
1358,50.4283,12.9536
1443,48.0232,7.8343
1468,48.4538,8.409
1503,53.0643,7.9022
5856,48.5451,13.3532
1544,52.5129,11.3942
1550,47.483,11.0621
1605,52.3875,12.1602
1612,50.8812,12.1289
1639,50.6017,8.6439
1757,54.0967,13.4056
1684,51.162,14.951
1691,51.5002,9.9507
1975,53.6332,9.9881
2014,52.4644,9.6779
2044,51.652,11.1367
2115,54.175,7.892
2171,50.852,9.7377
2261,50.3123,11.876
2290,47.801,11.011
2483,51.1803,8.4891
2485,48.917,9.6871
2559,47.7233,10.3348
2601,50.2218,8.4469
2638,48.1054,8.7548
2712,47.6952,9.1307
2667,50.8646,7.1575
2812,48.3647,7.828
867,50.3066,10.9679
2907,54.7903,8.9514
2925,51.3933,10.3123
2932,51.4348,12.2396
3015,52.2085,14.118
3028,51.7854,8.8388
3032,55.011,8.4125
3086,53.8025,10.6989
3098,51.2452,7.6425
6197,51.8664,9.271
3126,52.1029,11.5827
5906,49.5062,8.5585
3167,50.6621,7.9603
3196,53.3223,11.9319
3231,50.5611,10.3771
3268,48.1694,8.9433
3287,49.7177,9.0997
3366,48.279,12.5024
1766,52.1344,7.6969
3631,53.7123,7.1519
3660,50.3602,6.8697
3668,49.503,11.0549
3730,47.3984,10.2759
3761,49.207,9.5176
3811,51.296,13.0928
3946,50.4818,12.13
3987,52.381,13.062
4104,49.0425,12.1019
4177,48.9726,8.3301
4271,54.1803,12.0808
4336,49.2128,7.1077
4393,54.3279,8.6031
4466,54.528,9.549
4625,53.6425,11.3872
4642,52.8911,11.7297
4745,52.9604,9.793
4911,48.8275,12.5597
4928,48.8281,9.2
4887,48.6656,9.8648
5100,49.7479,6.6583
5109,53.5997,13.3039
5142,53.7444,14.0697
13674,49.2943,8.9053
7370,49.391,12.6838
5397,49.6662,12.1844
5404,48.4024,11.6946
5426,49.3758,8.1212
5480,51.5763,7.8879
5546,52.1207,12.4585
5629,51.8892,12.6445
5705,49.7704,9.9576
5779,50.7314,13.7516
5792,47.421,10.9848
