,SDO_ID,Longitude,Latitude
0,19171,9.855267,54.003766
1,3426,14.70081,51.565979
2,1584,8.647346,47.924175
3,1420,8.521294,50.025911
4,1832,13.133791,49.112887
5,3761,9.517582,49.207016
6,4560,9.122558,50.492508
7,4287,10.173229,49.384842
8,5275,8.537446,49.244489
9,596,11.19082,54.002724
10,5705,9.957627,49.770378
11,125,10.866723,47.834167
12,6109,14.372794,53.38369
13,7412,9.423765,50.008293
14,1332,12.724136,48.483155
15,3086,10.698941,53.802512
16,2315,13.166637,51.765723
17,2680,10.445599,50.284014
18,6265,12.386695,52.361259
19,3621,10.506667,48.825254
20,963,8.342405,52.588112
21,1612,12.128858,50.881268
22,4651,10.188523,51.903973
23,6305,10.497829,51.206117
24,13675,9.407661,52.081826
25,2486,7.755714,49.426213
26,2947,8.034831,51.133253
27,6186,7.865117,50.198862
28,3166,13.14694,50.651004
29,6197,9.271007,51.866393
30,5629,12.644523,51.889183
31,1048,13.754338,51.127955
32,757,7.998337,47.96248
33,1981,9.895686,53.477658
34,3257,9.762223,49.477317
35,3164,8.774608,50.849212
36,1246,8.060717,51.841775
37,4349,9.071028,48.95689
38,7396,9.224631,50.508391
39,5046,12.354218,49.857617
40,6275,9.462662,48.670482
41,4271,12.080806,54.180279
42,7105,12.654781,47.835009
43,867,10.967938,50.306639
44,2306,10.673193,54.319391
45,433,13.402115,52.467488
46,2319,11.696146,47.882292
47,3552,12.807205,52.903704
48,3307,11.265311,47.477866
49,368,9.924809,52.815233
50,6163,10.351887,54.165444
51,2878,11.878575,51.39092
52,3093,11.137371,52.972379
53,4485,10.453882,50.724999
54,6093,10.470375,53.213878
55,766,7.059526,50.174627
56,1590,6.246343,51.494168
57,4508,6.419387,50.296848
58,4174,7.386643,52.288697
59,3821,11.929202,51.087299
60,840,12.611403,50.431326
61,15000,6.02439,50.798281
62,5779,13.751604,50.731357
63,2485,9.687101,48.917038
64,1580,7.954826,49.985894
65,4094,9.620574,47.806215
66,5133,8.913191,51.3344
67,4548,12.07911,50.18466
68,5731,8.380129,47.678257
69,1759,13.9102,54.2437
70,5941,12.469775,47.675415
71,154,12.292473,48.019737
72,7351,13.417466,53.317538
73,13710,12.257556,48.57337
74,1550,11.062126,47.482989
75,4393,8.603056,54.327907
76,2856,13.087762,51.917335
77,2750,11.32093,50.252336
78,691,8.797904,53.045015
79,3679,12.166532,47.618701
80,1503,7.902205,53.064299
